amp; max; min; volt; max; min; wattage; mah; Joule
551,67;597,6;447,4;4,92;4,94;4,86;3,0;16,54;0,45
464,37;529,9;415,8;4,93;4,95;4,91;2,0;16,57;0,3
533,53;544,9;525,8;4,91;4,91;4,9;3,0;16,6;0,45
431,47;422,7;341,0;4,95;4,97;4,92;2,0;16,63;0,3
344,67;425,2;267,8;4,96;4,99;4,93;2,0;16,65;0,3
239,67;233,4;217,8;5,0;5,0;4,99;1,0;16,66;0,15
157,6;127,9;127,1;5,01;5,02;5,0;1,0;16,67;0,15
127,67;127,6;127,5;5,02;5,02;5,02;1,0;16,68;0,15
123,07;122,5;119,1;5,02;5,03;5,02;1,0;16,68;0,15
119,17;119,3;119,1;5,02;5,02;5,02;1,0;16,69;0,15
257,07;497,9;119,1;4,99;5,02;4,92;1,0;16,71;0,15
429,13;534,3;255,2;4,93;4,99;4,88;2,0;16,73;0,3
249,53;257,0;236,4;4,99;4,99;4,98;1,0;16,74;0,15
229,87;231,2;227,0;4,99;4,99;4,99;1,0;16,76;0,15
233,87;275,0;199,6;4,99;5,0;4,98;1,0;16,78;0,15
213,2;224,7;199,6;5,0;5,0;5,0;1,0;16,79;0,15
294,4;532,3;126,2;4,98;5,02;4,92;1,0;16,81;0,15
139,7;167,7;125,2;5,02;5,03;5,01;1,0;16,82;0,15
165,43;204,9;123,7;5,01;5,02;5,0;1,0;16,82;0,15
118,77;116,4;116,2;5,02;5,02;5,02;1,0;16,83;0,15
116,9;118,6;115,9;5,02;5,02;5,02;1,0;16,84;0,15
127,17;140,8;118,6;5,02;5,02;5,02;1,0;16,84;0,15
132,0;128,2;127,0;5,02;5,03;5,02;1,0;16,85;0,15
119,4;119,5;119,3;5,03;5,03;5,02;1,0;16,87;0,15
125,03;138,4;117,2;5,02;5,02;5,02;1,0;16,88;0,15
132,33;134,0;124,6;5,02;5,02;5,02;1,0;16,88;0,15
131,93;135,1;126,7;5,02;5,02;5,02;1,0;16,89;0,15
126,53;126,7;126,2;5,02;5,02;5,02;1,0;16,9;0,15
136,33;155,7;126,6;5,02;5,02;5,02;1,0;16,9;0,15
146,17;141,4;141,4;5,02;5,02;5,02;1,0;16,91;0,15
177,67;212,0;141,4;5,01;5,01;5,0;1,0;16,92;0,15
171,43;179,3;155,4;5,01;5,01;5,01;1,0;16,93;0,15
130,87;154,8;118,1;5,02;5,03;5,02;1,0;16,94;0,15
146,53;203,3;118,1;5,02;5,03;5,01;1,0;16,95;0,15
266,83;423,3;173,9;4,98;5,01;4,94;1,0;16,97;0,15
225,4;126,8;126,1;4,99;5,02;4,94;1,0;16,98;0,15
117,07;112,6;111,8;5,03;5,03;5,02;1,0;16,98;0,15
120,87;125,6;112,6;5,03;5,03;5,02;1,0;16,99;0,15
149,87;201,0;124,2;5,02;5,02;5,0;1,0;17,0;0,15
129,6;132,8;124,2;5,02;5,02;5,02;1,0;17,01;0,15
138,93;167,6;117,4;5,02;5,02;5,01;1,0;17,01;0,15
118,2;120,0;117,2;5,02;5,02;5,02;1,0;17,02;0,15
127,72;120,8;117,7;5,02;5,02;5,02;1,0;17,03;0,15
268,8;339,9;152,4;4,98;4,99;4,94;1,0;17,05;0,15
227,6;189,5;179,2;4,98;5,01;4,94;1,0;17,06;0,15
141,43;126,7;118,4;5,02;5,03;5,01;1,0;17,07;0,15
130,47;155,9;117,1;5,02;5,02;5,01;1,0;17,07;0,15
140,2;148,5;116,2;5,02;5,03;5,01;1,0;17,08;0,15
131,3;123,4;122,0;5,03;5,03;5,02;1,0;17,09;0,15
124,87;126,3;122,0;5,02;5,02;5,02;1,0;17,1;0,15
126,6;127,1;126,3;5,02;5,02;5,02;1,0;17,1;0,15
128,43;131,2;127,0;5,02;5,02;5,02;1,0;17,11;0,15
140,7;172,9;122,2;5,02;5,02;5,01;1,0;17,12;0,15
119,3;119,5;118,3;5,02;5,02;5,02;1,0;17,13;0,15
125,17;137,5;118,3;5,02;5,03;5,02;1,0;17,13;0,15
125,93;122,6;117,7;5,02;5,02;5,02;1,0;17,14;0,15
132,33;156,0;118,4;5,02;5,02;5,01;1,0;17,15;0,15
146,37;164,5;118,6;5,02;5,02;5,01;1,0;17,16;0,15
131,77;116,2;114,6;5,02;5,02;5,01;1,0;17,16;0,15
