amp, max, min, volt, max, min, wattage, mah, Joule
2.9,3.2,2.7,5.06,5.06,5.06,0.0,176.76,0.0
3.03,3.0,2.9,5.06,5.06,5.06,0.0,176.76,0.0
3.07,3.4,2.9,5.06,5.06,5.06,0.0,176.76,0.0
2.93,3.1,2.8,5.06,5.06,5.06,0.0,176.76,0.0
3.47,4.7,2.8,5.06,5.06,5.06,0.0,176.76,0.0
3.6,3.1,3.0,5.06,5.06,5.06,0.0,176.76,0.0
2.93,2.9,2.9,5.06,5.06,5.06,0.0,176.76,0.0
2.9,3.1,2.7,5.06,5.06,5.06,0.0,176.76,0.0
3.03,3.2,2.8,5.06,5.06,5.06,0.0,176.76,0.0
3.53,4.5,2.9,5.06,5.06,5.06,0.0,176.76,0.0
3.5,3.1,2.9,5.06,5.06,5.06,0.0,176.76,0.0
2.8,3.0,2.5,5.06,5.06,5.06,0.0,176.77,0.0
2.77,3.1,2.5,5.06,5.06,5.06,0.0,176.77,0.0
2.93,3.2,2.7,5.06,5.06,5.06,0.0,176.77,0.0
2.97,3.0,2.9,5.06,5.06,5.06,0.0,176.77,0.0
3.4,4.5,2.7,5.06,5.06,5.06,0.0,176.77,0.0
2.73,2.8,2.7,5.06,5.06,5.06,0.0,176.77,0.0
2.83,2.9,2.7,5.06,5.06,5.06,0.0,176.77,0.0
25.83,56.1,2.9,5.05,5.05,5.04,0.0,176.77,0.0
20.67,3.1,2.8,5.05,5.06,5.04,0.0,176.77,0.0
3.47,4.4,2.9,5.06,5.06,5.06,0.0,176.77,0.0
3.37,2.9,2.8,5.06,5.06,5.06,0.0,176.77,0.0
3.07,3.2,2.9,5.06,5.06,5.06,0.0,176.77,0.0
60.2,174.1,2.9,5.04,5.06,5.01,0.0,176.77,0.0
548.22,882.6,174.1,4.91,4.93,4.81,3.0,176.83,0.45
544.77,648.2,311.9,4.91,4.98,4.87,3.0,176.86,0.45
480.8,576.2,311.9,4.93,4.9,4.9,2.0,176.89,0.3
502.6,567.0,364.6,4.93,4.96,4.9,2.0,176.91,0.3
369.37,422.7,320.8,4.96,4.97,4.95,2.0,176.93,0.3
321.73,322.4,320.8,4.97,4.97,4.97,2.0,176.95,0.3
368.33,404.3,322.0,4.96,4.95,4.95,2.0,176.97,0.3
360.13,379.3,322.4,4.96,4.97,4.95,2.0,176.99,0.3
323.2,322.9,322.4,4.97,4.97,4.97,2.0,177.02,0.3
324.33,324.5,323.8,4.97,4.97,4.97,2.0,177.04,0.3
325.07,326.0,324.5,4.97,4.97,4.97,2.0,177.06,0.3
325.33,325.8,324.7,4.97,4.97,4.97,2.0,177.07,0.3
352.0,404.7,325.5,4.96,4.97,4.95,2.0,177.1,0.3
351.7,325.7,324.7,4.96,4.97,4.95,2.0,177.11,0.3
325.6,325.7,325.4,4.97,4.97,4.97,2.0,177.13,0.3
326.03,327.1,325.3,4.97,4.97,4.97,2.0,177.15,0.3
326.57,326.7,325.9,4.97,4.97,4.97,2.0,177.17,0.3
326.13,326.5,325.9,4.97,4.97,4.97,2.0,177.19,0.3
326.63,326.7,326.5,4.97,4.97,4.97,2.0,177.21,0.3
329.43,334.2,326.8,4.96,4.98,4.94,2.0,177.23,0.3
368.47,387.9,334.2,4.96,4.97,4.94,2.0,177.25,0.3
348.07,328.9,327.4,4.97,4.97,4.96,2.0,177.27,0.3
194.83,129.0,128.1,5.01,5.02,4.97,1.0,177.28,0.15
152.93,203.3,127.4,5.02,5.02,5.02,1.0,177.29,0.15
153.27,128.7,127.8,5.02,5.02,5.02,1.0,177.29,0.15
127.7,127.7,127.6,5.02,5.02,5.02,1.0,177.3,0.15
127.53,127.6,127.3,5.02,5.02,5.02,1.0,177.31,0.15
127.3,127.3,127.3,5.02,5.02,5.02,1.0,177.31,0.15
126.43,126.5,125.8,5.02,5.02,5.02,1.0,177.32,0.15
21.2,17.3,14.3,5.05,5.05,5.05,0.0,177.32,0.0
14.23,14.2,14.2,5.05,5.05,5.05,0.0,177.33,0.0
14.2,14.3,14.1,5.05,5.05,5.05,0.0,177.33,0.0
14.8,15.3,14.3,5.05,5.05,5.05,0.0,177.33,0.0
15.0,15.4,14.3,5.05,5.05,5.05,0.0,177.33,0.0
36.93,48.4,14.3,5.05,5.05,5.04,0.0,177.33,0.0
25.4,14.3,13.8,5.05,5.05,5.05,0.0,177.33,0.0
14.03,14.2,13.8,5.05,5.05,5.05,0.0,177.33,0.0
88.68,311.7,14.2,5.03,5.05,4.98,0.0,177.34,0.0
14.77,15.4,14.4,5.05,5.06,5.05,0.0,177.34,0.0
14.3,14.2,14.2,5.06,5.05,5.05,0.0,177.34,0.0
14.13,14.3,13.9,5.05,5.05,5.05,0.0,177.34,0.0
52.1,128.0,14.0,5.04,5.05,5.02,0.0,177.35,0.0
31.93,14.1,14.1,5.05,5.06,5.04,0.0,177.35,0.0
14.53,15.4,14.1,5.05,5.05,5.05,0.0,177.35,0.0
15.03,15.5,14.2,5.05,5.06,5.05,0.0,177.35,0.0
14.17,14.3,13.9,5.06,5.06,5.05,0.0,177.35,0.0
66.9,114.3,13.9,5.04,5.04,5.03,0.0,177.36,0.0
141.45,210.4,72.5,5.04,5.04,5.04,1.0,177.36,0.15
79.5,14.2,13.9,5.05,5.06,5.04,0.0,177.36,0.0
16.67,20.5,14.2,5.05,5.06,5.04,0.0,177.37,0.0
23.5,41.2,14.0,5.06,5.05,5.05,0.0,177.37,0.0
14.0,14.1,13.9,5.05,5.06,5.05,0.0,177.37,0.0
13.9,14.1,13.7,5.06,5.06,5.05,0.0,177.37,0.0
24.13,42.4,13.7,5.05,5.05,5.05,0.0,177.37,0.0
15.13,15.2,14.0,5.05,5.05,5.05,0.0,177.37,0.0
14.5,13.8,13.8,5.05,5.05,5.05,0.0,177.37,0.0
14.03,14.2,13.8,5.05,5.06,5.05,0.0,177.37,0.0
14.1,14.2,13.9,5.05,5.06,5.05,0.0,177.37,0.0
14.0,14.0,13.8,5.05,5.06,5.05,0.0,177.37,0.0
13.87,14.0,13.8,5.05,5.05,5.05,0.0,177.37,0.0
14.73,15.9,13.8,5.05,5.05,5.05,0.0,177.38,0.0
14.53,13.9,13.8,5.05,5.06,5.05,0.0,177.38,0.0
13.8,13.9,13.7,5.05,5.05,5.05,0.0,177.38,0.0
13.85,14.0,13.7,5.05,5.05,5.05,0.0,177.38,0.0
21.0,35.0,14.0,5.05,5.05,5.04,0.0,177.38,0.0
21.0,14.1,13.9,5.05,5.05,5.04,0.0,177.38,0.0
14.4,15.2,13.9,5.05,5.06,5.05,0.0,177.38,0.0
25.13,14.1,13.8,5.05,5.06,5.04,0.0,177.38,0.0
13.78,13.8,13.7,5.05,5.05,5.05,0.0,177.38,0.0
13.77,13.9,13.7,5.05,5.06,5.05,0.0,177.39,0.0
108.1,296.6,13.8,5.03,5.05,4.98,1.0,177.39,0.15
307.13,324.8,296.6,4.98,4.97,4.97,2.0,177.41,0.3
325.27,325.5,324.8,4.97,4.97,4.97,2.0,177.43,0.3
323.33,323.1,321.4,4.97,4.97,4.97,2.0,177.45,0.3
323.07,323.8,322.3,4.97,4.98,4.97,2.0,177.46,0.3
324.07,324.4,323.8,4.97,4.97,4.97,2.0,177.48,0.3
324.5,324.8,324.3,4.97,4.97,4.97,2.0,177.5,0.3
326.13,327.1,324.8,4.97,4.97,4.97,2.0,177.53,0.3
325.93,326.1,325.5,4.97,4.97,4.97,2.0,177.55,0.3
325.97,326.0,325.8,4.97,4.97,4.97,2.0,177.56,0.3
326.33,327.0,326.0,4.97,4.97,4.97,2.0,177.58,0.3
326.6,326.5,326.3,4.97,4.97,4.97,2.0,177.6,0.3
327.07,328.0,326.5,4.97,4.97,4.97,2.0,177.62,0.3
327.67,328.0,327.0,4.97,4.97,4.97,2.0,177.64,0.3
327.63,328.6,327.0,4.97,4.97,4.97,2.0,177.66,0.3
327.73,328.4,327.3,4.97,4.97,4.97,2.0,177.67,0.3
327.87,328.2,327.5,4.97,4.97,4.97,2.0,177.69,0.3
328.57,329.2,328.1,4.97,4.97,4.97,2.0,177.72,0.3
329.4,330.0,329.0,4.97,4.97,4.97,2.0,177.74,0.3
329.47,330.4,329.0,4.97,4.97,4.97,2.0,177.76,0.3
329.83,329.8,329.3,4.97,4.97,4.97,2.0,177.77,0.3
329.73,330.4,329.3,4.97,4.97,4.97,2.0,177.79,0.3
329.3,329.3,329.1,4.97,4.97,4.97,2.0,177.81,0.3
329.97,331.1,329.3,4.97,4.97,4.97,2.0,177.83,0.3
197.13,132.1,128.2,5.01,5.02,4.97,1.0,177.84,0.15
127.67,127.5,127.3,5.02,5.02,5.02,1.0,177.84,0.15
